AAA	ASCII Adjust After Addition
SQRTSD	Compute Square Root of Scalar Double-Precision Floating-Point Value
SQRTSS	Compute Square Root of Scalar Single-Precision Value
STAC	Set AC Flag in EFLAGS Register
STC	Set Carry Flag
STD	Set Direction Flag
STI	Set Interrupt Flag
STMXCSR	Store MXCSR Register State
STOS	Store String
STOSB	Store String
STOSD	Store String
STOSQ	Store String
STOSW	Store String
STR	Store Task Register
SUB	Subtract
SUBPD	Subtract Packed Double-Precision Floating-Point Values
SUBPS	Subtract Packed Single-Precision Floating-Point Values
SUBSD	Subtract Scalar Double-Precision Floating-Point Value
SUBSS	Subtract Scalar Single-Precision Floating-Point Value
SWAPGS	Swap GS Base Register
SYSCALL	Fast System Call
SYSENTER	Fast System Call
SYSEXIT	Fast Return from Fast System Call
SYSRET	Return From Fast System Call
TEST	Logical Compare
TZCNT	Count the Number of Trailing Zero Bits
UCOMISD	Unordered Compare Scalar Double-Precision Floating-Point Values and Set EFLAGS
UCOMISS	Unordered Compare Scalar Single-Precision Floating-Point Values and Set EFLAGS
UD2	Undefined Instruction
UNPCKHPD	Unpack and Interleave High Packed Double-Precision Floating-Point Values
UNPCKHPS	Unpack and Interleave High Packed Single-Precision Floating-Point Values
UNPCKLPD	Unpack and Interleave Low Packed Double-Precision Floating-Point Values
UNPCKLPS	Unpack and Interleave Low Packed Single-Precision Floating-Point Values
VADDPD	Add Packed Double-Precision Floating-Point Values
VADDPS	Add Packed Single-Precision Floating-Point Values
VADDSD	Add Scalar Double-Precision Floating-Point Values
VADDSS	Add Scalar Single-Precision Floating-Point Values
VADDSUBPD	Packed Double-FP Add/Subtract
VADDSUBPS	Packed Single-FP Add/Subtract
VAESDEC	Perform One Round of an AES Decryption Flow
VAESDECLAST	Perform Last Round of an AES Decryption Flow
VAESENC	Perform One Round of an AES Encryption Flow
VAESENCLAST	Perform Last Round of an AES Encryption Flow
VAESIMC	Perform the AES InvMixColumn Transformation
VAESKEYGENASSIST	AES Round Key Generation Assist
VALIGND	Align Doubleword/Quadword Vectors
VALIGNQ	Align Doubleword/Quadword Vectors
VANDNPD	Bitwise Logical AND NOT of Packed Double Precision Floating-Point Values
VANDNPS	Bitwise Logical AND NOT of Packed Single Precision Floating-Point Values
VANDPD	Bitwise Logical AND of Packed Double Precision Floating-Point Values
VANDPS	Bitwise Logical AND of Packed Single Precision Floating-Point Values
VBLENDMPD	Blend Float64/Float32 Vectors Using an OpMask Control
VBLENDMPS	Blend Float64/Float32 Vectors Using an OpMask Control
VBLENDPD	Blend Packed Double Precision Floating-Point Values
VBLENDPS	Blend Packed Single Precision Floating-Point Values
VBLENDVPD	Variable Blend Packed Double Precision Floating-Point Values
VBLENDVPS	Variable Blend Packed Single Precision Floating-Point Values
VBROADCASTF128	Load with Broadcast Floating-Point Data
VBROADCASTF32X2	Load with Broadcast Floating-Point Data
VBROADCASTF32X4	Load with Broadcast Floating-Point Data
VBROADCASTF32X8	Load with Broadcast Floating-Point Data
VBROADCASTF64X2	Load with Broadcast Floating-Point Data
VBROADCASTF64X4	Load with Broadcast Floating-Point Data
VBROADCASTI32X8	Load Integer and Broadcast
VBROADCASTI32x2	Load Integer and Broadcast
VBROADCASTI64X4	Load Integer and Broadcast
VBROADCASTSD	Load with Broadcast Floating-Point Data
VBROADCASTSS	Load with Broadcast Floating-Point Data
VCMPPD	Compare Packed Double-Precision Floating-Point Values
VCMPPS	Compare Packed Single-Precision Floating-Point Values
VCMPSD	Compare Scalar Double-Precision Floating-Point Value
VCMPSS	Compare Scalar Single-Precision Floating-Point Value
VCOMISD	Compare Scalar Ordered Double-Precision Floating-Point Values and Set EFLAGS
VCOMISS	Compare Scalar Ordered Single-Precision Floating-Point Values and Set EFLAGS
VCOMPRESSPD	Store Sparse Packed Double-Precision Floating-Point Values into Dense Memory
VCOMPRESSPS	Store Sparse Packed Single-Precision Floating-Point Values into Dense Memory
VCVTDQ2PD	Convert Packed Doubleword Integers to Packed Double-Precision Floating-Point Values
VCVTDQ2PS	Convert Packed Doubleword Integers to Packed Single-Precision Floating-Point Values
VCVTPD2DQ	Convert Packed Double-Precision Floating-Point Values to Packed Doubleword Integers
VCVTPD2PS	Convert Packed Double-Precision Floating-Point Values to Packed Single-Precision Floating-Point Values
VCVTPD2QQ	Convert Packed Double-Precision Floating-Point Values to Packed Quadword Integers
VCVTPD2UDQ	Convert Packed Double-Precision Floating-Point Values to Packed Unsigned Doubleword Integers
VCVTPD2UQQ	Convert Packed Double-Precision Floating-Point Values to Packed Unsigned Quadword Integers
VCVTPH2PS	Convert 16-bit FP values to Single-Precision FP values
VCVTPS2DQ	Convert Packed Single-Precision Floating-Point Values to Packed Signed Doubleword Integer Values
VCVTPS2PD	Convert Packed Single-Precision Floating-Point Values to Packed Double-Precision Floating-Point Values
VCVTPS2PH	Convert Single-Precision FP value to 16-bit FP value
VCVTPS2QQ	Convert Packed Single Precision Floating-Point Values to Packed Singed Quadword Integer Values
VCVTPS2UDQ	Convert Packed Single-Precision Floating-Point Values to Packed Unsigned Doubleword Integer Values
VCVTPS2UQQ	Convert Packed Single Precision Floating-Point Values to Packed Unsigned Quadword Integer Values
VCVTQQ2PD	Convert Packed Quadword Integers to Packed Double-Precision Floating-Point Values
VCVTQQ2PS	Convert Packed Quadword Integers to Packed Single-Precision Floating-Point Values
VCVTSD2SI	Convert Scalar Double-Precision Floating-Point Value to Doubleword Integer
VCVTSD2SS	Convert Scalar Double-Precision Floating-Point Value to Scalar Single-Precision Floating-Point Value
VCVTSD2USI	Convert Scalar Double-Precision Floating-Point Value to Unsigned Doubleword Integer
VCVTSI2SD	Convert Doubleword Integer to Scalar Double-Precision Floating-Point Value
VCVTSI2SS	Convert Doubleword Integer to Scalar Single-Precision Floating-Point Value
VCVTSS2SD	Convert Scalar Single-Precision Floating-Point Value to Scalar Double-Precision Floating-Point Value
VCVTSS2SI	Convert Scalar Single-Precision Floating-Point Value to Doubleword Integer
VCVTSS2USI	Convert Scalar Single-Precision Floating-Point Value to Unsigned Doubleword Integer
VCVTTPD2DQ	Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Doubleword Integers
VCVTTPD2QQ	Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Quadword Integers
VCVTTPD2UDQ	Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Unsigned Doubleword Integers
VCVTTPD2UQQ	Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Unsigned Quadword Integers
VCVTTPS2DQ	Convert with Truncation Packed Single-Precision Floating-Point Values to Packed Signed Doubleword Integer Values
VCVTTPS2QQ	Convert with Truncation Packed Single Precision Floating-Point Values to Packed Singed Quadword Integer Values
VCVTTPS2UDQ	Convert with Truncation Packed Single-Precision Floating-Point Values to Packed Unsigned Doubleword Integer Values
VCVTTPS2UQQ	Convert with Truncation Packed Single Precision Floating-Point Values to Packed Unsigned Quadword Integer Values
VCVTTSD2SI	Convert with Truncation Scalar Double-Precision Floating-Point Value to Signed Integer
VCVTTSD2USI	Convert with Truncation Scalar Double-Precision Floating-Point Value to Unsigned Integer
VCVTTSS2SI	Convert with Truncation Scalar Single-Precision Floating-Point Value to Integer
VCVTTSS2USI	Convert with Truncation Scalar Single-Precision Floating-Point Value to Unsigned Integer
VCVTUDQ2PD	Convert Packed Unsigned Doubleword Integers to Packed Double-Precision Floating-Point Values
VCVTUDQ2PS	Convert Packed Unsigned Doubleword Integers to Packed Single-Precision Floating-Point Values
VCVTUQQ2PD	Convert Packed Unsigned Quadword Integers to Packed Double-Precision Floating-Point Values
VCVTUQQ2PS	Convert Packed Unsigned Quadword Integers to Packed Single-Precision Floating-Point Values
VCVTUSI2SD	Convert Unsigned Integer to Scalar Double-Precision Floating-Point Value
VCVTUSI2SS	Convert Unsigned Integer to Scalar Single-Precision Floating-Point Value
VDBPSADBW	Double Block Packed Sum-Absolute-Differences (SAD) on Unsigned Bytes
VDIVPD	Divide Packed Double-Precision Floating-Point Values
VDIVPS	Divide Packed Single-Precision Floating-Point Values
VDIVSD	Divide Scalar Double-Precision Floating-Point Value
VDIVSS	Divide Scalar Single-Precision Floating-Point Values
VDPPD	Dot Product of Packed Double Precision Floating-Point Values
VDPPS	Dot Product of Packed Single Precision Floating-Point Values
VERR	Verify a Segment for Reading or Writing
VERW	Verify a Segment for Reading or Writing
VEXP2PD	Approximation to the Exponential 2^x of Packed Double-Precision Floating-Point Values with Less Than 2^-23 Relative Error
VEXP2PS	Approximation to the Exponential 2^x of Packed Single-Precision Floating-Point Values with Less Than 2^-23 Relative Error
VEXPANDPD	Load Sparse Packed Double-Precision Floating-Point Values from Dense Memory
VEXPANDPS	Load Sparse Packed Single-Precision Floating-Point Values from Dense Memory
VEXTRACTF128	Extra ct Packed Floating-Point Values
VEXTRACTF32x4	Extra ct Packed Floating-Point Values
VEXTRACTF32x8	Extra ct Packed Floating-Point Values
VEXTRACTF64x2	Extra ct Packed Floating-Point Values
VEXTRACTF64x4	Extra ct Packed Floating-Point Values
VEXTRACTI128	Extract packed Integer Values
VEXTRACTI32x4	Extract packed Integer Values
VEXTRACTI32x8	Extract packed Integer Values
VEXTRACTI64x2	Extract packed Integer Values
VEXTRACTI64x4	Extract packed Integer Values
VEXTRACTPS	Extract Packed Floating-Point Values
VFIXUPIMMPD	Fix Up Special Packed Float64 Values
VFIXUPIMMPS	Fix Up Special Packed Float32 Values
VFIXUPIMMSD	Fix Up Special Scalar Float64 Value
VFIXUPIMMSS	Fix Up Special Scalar Float32 Value
VFMADD132PD	Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD132PS	Fused Multiply-Add of Packed Single-Precision Floating-Point Values
VFMADD132SD	Fused Multiply-Add of Scalar Double-Precision Floating-Point Values
VFMADD132SS	Fused Multiply-Add of Scalar Single-Precision Floating-Point Values
VFMADD213PD	Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD213PS	Fused Multiply-Add of Packed Single-Precision Floating-Point Values
VFMADD213SD	Fused Multiply-Add of Scalar Double-Precision Floating-Point Values
VFMADD213SS	Fused Multiply-Add of Scalar Single-Precision Floating-Point Values
VFMADD231PD	Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD231PS	Fused Multiply-Add of Packed Single-Precision Floating-Point Values
VFMADD231SD	Fused Multiply-Add of Scalar Double-Precision Floating-Point Values
VFMADD231SS	Fused Multiply-Add of Scalar Single-Precision Floating-Point Values
VFMADDSUB132PD	Fused Multiply-Alternating Add/Subtract of Packed Double-Precision Floating-Point Values
VFMADDSUB132PS	Fused Multiply-Alternating Add/Subtract of Packed Single-Precision Floating-Point Values
VFMADDSUB213PD	Fused Multiply-Alternating Add/Subtract of Packed Double-Precision Floating-Point Values
VFMADDSUB213PS	Fused Multiply-Alternating Add/Subtract of Packed Single-Precision Floating-Point Values
VFMADDSUB231PD	Fused Multiply-Alternating Add/Subtract of Packed Double-Precision Floating-Point Values
VFMADDSUB231PS	Fused Multiply-Alternating Add/Subtract of Packed Single-Precision Floating-Point Values
VFMSUB132PD	Fused Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFMSUB132PS	Fused Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFMSUB132SD	Fused Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFMSUB132SS	Fused Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFMSUB213PD	Fused Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFMSUB213PS	Fused Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFMSUB213SD	Fused Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFMSUB213SS	Fused Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFMSUB231PD	Fused Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFMSUB231PS	Fused Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFMSUB231SD	Fused Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFMSUB231SS	Fused Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFMSUBADD132PD	Fused Multiply-Alternating Subtract/Add of Packed Double-Precision Floating-Point Values
VFMSUBADD132PS	Fused Multiply-Alternating Subtract/Add of Packed Single-Precision Floating-Point Values
VFMSUBADD213PD	Fused Multiply-Alternating Subtract/Add of Packed Double-Precision Floating-Point Values
VFMSUBADD213PS	Fused Multiply-Alternating Subtract/Add of Packed Single-Precision Floating-Point Values
VFMSUBADD231PD	Fused Multiply-Alternating Subtract/Add of Packed Double-Precision Floating-Point Values
VFMSUBADD231PS	Fused Multiply-Alternating Subtract/Add of Packed Single-Precision Floating-Point Values
VFNMADD132PD	Fused Negative Multiply-Add of Packed Double-Precision Floating-Point Values
VFNMADD132PS	Fused Negative Multiply-Add of Packed Single-Precision Floating-Point Values
VFNMADD132SD	Fused Negative Multiply-Add of Scalar Double-Precision Floating-Point Values
VFNMADD132SS	Fused Negative Multiply-Add of Scalar Single-Precision Floating-Point Values
VFNMADD213PD	Fused Negative Multiply-Add of Packed Double-Precision Floating-Point Values
VFNMADD213PS	Fused Negative Multiply-Add of Packed Single-Precision Floating-Point Values
VFNMADD213SD	Fused Negative Multiply-Add of Scalar Double-Precision Floating-Point Values
VFNMADD213SS	Fused Negative Multiply-Add of Scalar Single-Precision Floating-Point Values
VFNMADD231PD	Fused Negative Multiply-Add of Packed Double-Precision Floating-Point Values
VFNMADD231PS	Fused Negative Multiply-Add of Packed Single-Precision Floating-Point Values
VFNMADD231SD	Fused Negative Multiply-Add of Scalar Double-Precision Floating-Point Values
VFNMADD231SS	Fused Negative Multiply-Add of Scalar Single-Precision Floating-Point Values
VFNMSUB132PD	Fused Negative Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFNMSUB132PS	Fused Negative Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFNMSUB132SD	Fused Negative Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFNMSUB132SS	Fused Negative Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFNMSUB213PD	Fused Negative Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFNMSUB213PS	Fused Negative Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFNMSUB213SD	Fused Negative Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFNMSUB213SS	Fused Negative Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFNMSUB231PD	Fused Negative Multiply-Subtract of Packed Double-Precision Floating-Point Values
VFNMSUB231PS	Fused Negative Multiply-Subtract of Packed Single-Precision Floating-Point Values
VFNMSUB231SD	Fused Negative Multiply-Subtract of Scalar Double-Precision Floating-Point Values
VFNMSUB231SS	Fused Negative Multiply-Subtract of Scalar Single-Precision Floating-Point Values
VFPCLASSPD	Tests Types Of a Packed Float64 Values
VFPCLASSPS	Tests Types Of a Packed Float32 Values
VFPCLASSSD	Tests Types Of a Scalar Float64 Values
VFPCLASSSS	Tests Types Of a Scalar Float32 Values
VGATHERDPD	"Gather Packed Single	 Packed Double with Signed Dword"
VGATHERDPS	Gather Packed SP FP values Using Signed Dword/Qword Indices
VGATHERPF0DPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint"
VGATHERPF0DPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint"
VGATHERPF0QPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint"
VGATHERPF0QPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint"
VGATHERPF1DPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint"
VGATHERPF1DPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint"
VGATHERPF1QPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint"
VGATHERPF1QPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint"
VGATHERQPD	"Gather Packed Single	 Packed Double with Signed Qword Indices"
VGATHERQPS	"Gather Packed Single	 Packed Double with Signed Qword Indices"
VGETEXPPD	Convert Exponents of Packed DP FP Values to DP FP Values
VGETEXPPS	Convert Exponents of Packed SP FP Values to SP FP Values
VGETEXPSD	Convert Exponents of Scalar DP FP Values to DP FP Value
VGETEXPSS	Convert Exponents of Scalar SP FP Values to SP FP Value
VGETMANTPD	Extract Float64 Vector of Normalized Mantissas from Float64 Vector
VGETMANTPS	Extract Float32 Vector of Normalized Mantissas from Float32 Vector
VGETMANTSD	Extract Float64 of Normalized Mantissas from Float64 Scalar
VGETMANTSS	Extract Float32 Vector of Normalized Mantissa from Float32 Vector
VHADDPD	Packed Double-FP Horizontal Add
VHADDPS	Packed Single-FP Horizontal Add
VHSUBPD	Packed Double-FP Horizontal Subtract
VHSUBPS	Packed Single-FP Horizontal Subtract
VINSERTF128	Insert Packed Floating-Point Values
VINSERTF32x4	Insert Packed Floating-Point Values
VINSERTF32x8	Insert Packed Floating-Point Values
VINSERTF64x2	Insert Packed Floating-Point Values
VINSERTF64x4	Insert Packed Floating-Point Values
VINSERTI128	Insert Packed Integer Values
VINSERTI32x4	Insert Packed Integer Values
VINSERTI32x8	Insert Packed Integer Values
VINSERTI64x2	Insert Packed Integer Values
VINSERTI64x4	Insert Packed Integer Values
VINSERTPS	Insert Scalar Single-Precision Floating-Point Value
VLDDQU	Load Unaligned Integer 128 Bits
VLDMXCSR	Load MXCSR Register
VMASKMOVDQU	Store Selected Bytes of Double Quadword
VMASKMOVPD	Conditional SIMD Packed Loads and Stores
VMASKMOVPS	Conditional SIMD Packed Loads and Stores
VMAXPD	Maximum of Packed Double-Precision Floating-Point Values
VMAXPS	Maximum of Packed Single-Precision Floating-Point Values
VMAXSD	Return Maximum Scalar Double-Precision Floating-Point Value
VMAXSS	Return Maximum Scalar Single-Precision Floating-Point Value
VMINPD	Minimum of Packed Double-Precision Floating-Point Values
VMINPS	Minimum of Packed Single-Precision Floating-Point Values
VMINSD	Return Minimum Scalar Double-Precision Floating-Point Value
VMINSS	Return Minimum Scalar Single-Precision Floating-Point Value
VMOVAPD	Move Aligned Packed Double-Precision Floating-Point Values
VMOVAPS	Move Aligned Packed Single-Precision Floating-Point Values
VMOVD	Move Doubleword/Move Quadword
VMOVDDUP	Replicate Double FP Values
VMOVDQA	Move Aligned Packed Integer Values
VMOVDQA32	Move Aligned Packed Integer Values
VMOVDQA64	Move Aligned Packed Integer Values
VMOVDQU	Move Unaligned Packed Integer Values
VMOVDQU16	Move Unaligned Packed Integer Values
VMOVDQU32	Move Unaligned Packed Integer Values
VMOVDQU64	Move Unaligned Packed Integer Values
VMOVDQU8	Move Unaligned Packed Integer Values
VMOVHLPS	Move Packed Single-Precision Floating-Point Values High to Low
VMOVHPD	Move High Packed Double-Precision Floating-Point Value
VMOVHPS	Move High Packed Single-Precision Floating-Point Values
VMOVLHPS	Move Packed Single-Precision Floating-Point Values Low to High
VMOVLPD	Move Low Packed Double-Precision Floating-Point Value
VMOVLPS	Move Low Packed Single-Precision Floating-Point Values
VMOVMSKPD	Extract Packed Double-Precision Floating-Point Sign Mask
VMOVMSKPS	Extract Packed Single-Precision Floating-Point Sign Mask
VMOVNTDQ	Store Packed Integers Using Non-Temporal Hint
VMOVNTDQA	Load Double Quadword Non-Temporal Aligned Hint
VMOVNTPD	Store Packed Double-Precision Floating-Point Values Using Non-Temporal Hint
VMOVNTPS	Store Packed Single-Precision Floating-Point Values Using Non-Temporal Hint
VMOVQ	Move Quadword
VMOVSD	Move or Merge Scalar Double-Precision Floating-Point Value
VMOVSHDUP	Replicate Single FP Values
VMOVSLDUP	Replicate Single FP Values
VMOVSS	Move or Merge Scalar Single-Precision Floating-Point Value
VMOVUPD	Move Unaligned Packed Double-Precision Floating-Point Values
VMOVUPS	Move Unaligned Packed Single-Precision Floating-Point Values
VMPSADBW	Compute Multiple Packed Sums of Absolute Difference
VMULPD	Multiply Packed Double-Precision Floating-Point Values
VMULPS	Multiply Packed Single-Precision Floating-Point Values
VMULSD	Multiply Scalar Double-Precision Floating-Point Value
VMULSS	Multiply Scalar Single-Precision Floating-Point Values
VORPD	Bitwise Logical OR of Packed Double Precision Floating-Point Values
VORPS	Bitwise Logical OR of Packed Single Precision Floating-Point Values
VPABSB	Packed Absolute Value
VPABSD	Packed Absolute Value
VPABSQ	Packed Absolute Value
VPABSW	Packed Absolute Value
VPACKSSDW	Pack with Signed Saturation
VPACKSSWB	Pack with Signed Saturation
VPACKUSDW	Pack with Unsigned Saturation
VPACKUSWB	Pack with Unsigned Saturation
VPADDB	Add Packed Integers
VPADDD	Add Packed Integers
VPADDQ	Add Packed Integers
VPADDSB	Add Packed Signed Integers with Signed Saturation
VPADDSW	Add Packed Signed Integers with Signed Saturation
VPADDUSB	Add Packed Unsigned Integers with Unsigned Saturation
VPADDUSW	Add Packed Unsigned Integers with Unsigned Saturation
VPADDW	Add Packed Integers
VPALIGNR	Packed Align Right
VPAND	Logical AND
VPANDD	Logical AND
VPANDN	Logical AND NOT
VPANDND	Logical AND NOT
VPANDNQ	Logical AND NOT
VPANDQ	Logical AND
VPAVGB	Average Packed Integers
VPAVGW	Average Packed Integers
VPBLENDD	Blend Packed Dwords
VPBLENDMB	Blend Byte/Word Vectors Using an Opmask Control
VPBLENDMD	Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMQ	Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMW	Blend Byte/Word Vectors Using an Opmask Control
VPBLENDVB	Variable Blend Packed Bytes
VPBLENDW	Blend Packed Words
VPBROADCASTB	Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTD	Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTMB2Q	Broadcast Mask to Vector Register
VPBROADCASTMW2D	Broadcast Mask to Vector Register
VPBROADCASTQ	Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTW	Load with Broadcast Integer Data from General Purpose Register
VPCLMULQDQ	PCLMULQDQ - Carry-Less Multiplication Quadword
VPCMPB	Compare Packed Byte Values Into Mask
VPCMPD	Compare Packed Integer Values into Mask
VPCMPEQB	Compare Packed Data for Equal
VPCMPEQD	Compare Packed Data for Equal
VPCMPEQQ	Compare Packed Qword Data for Equal
VPCMPEQW	Compare Packed Data for Equal
VPCMPESTRI	"Packed Compare Explicit Length Strings	 Return Index"
VPCMPESTRM	"Packed Compare Explicit Length Strings	 Return Mask"
VPCMPGTB	Compare Packed Signed Integers for Greater Than
VPCMPGTD	Compare Packed Signed Integers for Greater Than
VPCMPGTQ	Compare Packed Data for Greater Than
VPCMPGTW	Compare Packed Signed Integers for Greater Than
VPCMPISTRI	"Packed Compare Implicit Length Strings	 Return Index"
VPCMPISTRM	"Packed Compare Implicit Length Strings	 Return Mask"
VPCMPQ	Compare Packed Integer Values into Mask
VPCMPUB	Compare Packed Byte Values Into Mask
VPCMPUD	Compare Packed Integer Values into Mask
VPCMPUQ	Compare Packed Integer Values into Mask
VPCMPUW	Compare Packed Word Values Into Mask
VPCMPW	Compare Packed Word Values Into Mask
VPCOMPRESSD	Store Sparse Packed Doubleword Integer Values into Dense Memory/Register
VPCOMPRESSQ	Store Sparse Packed Quadword Integer Values into Dense Memory/Register
VPCONFLICTD	Detect Conflicts Within a Vector of Packed Dword/Qword Values into Dense Memory/ Register
VPCONFLICTQ	Detect Conflicts Within a Vector of Packed Dword/Qword Values into Dense Memory/ Register
VPERM2F128	Permute Floating-Point Values
VPERM2I128	Permute Integer Values
VPERMD	Permute Packed Doublewords/Words Elements
VPERMI2D	Full Permute From Two Tables Overwriting the Index
VPERMI2PD	Full Permute From Two Tables Overwriting the Index
VPERMI2PS	Full Permute From Two Tables Overwriting the Index
VPERMI2Q	Full Permute From Two Tables Overwriting the Index
VPERMI2W	Full Permute From Two Tables Overwriting the Index
VPERMILPD	Permute In-Lane of Pairs of Double-Precision Floating-Point Values
VPERMILPS	Permute In-Lane of Quadruples of Single-Precision Floating-Point Values
VPERMPD	Permute Double-Precision Floating-Point Elements
VPERMPS	Permute Single-Precision Floating-Point Elements
VPERMQ	Qwords Element Permutation
VPERMW	Permute Packed Doublewords/Words Elements
VPEXPANDD	Load Sparse Packed Doubleword Integer Values from Dense Memory / Register
VPEXPANDQ	Load Sparse Packed Quadword Integer Values from Dense Memory / Register
VPEXTRB	Extract Byte/Dword/Qword
VPEXTRD	Extract Byte/Dword/Qword
VPEXTRQ	Extract Byte/Dword/Qword
VPEXTRW	Extract Word
VPGATHERDD	Gather Packed Dword Values Using Signed Dword/Qword Indices
VPGATHERDQ	Gather Packed Qword Values Using Signed Dword/Qword Indices
VPGATHERQD	"Gather Packed Dword	 Packed Qword with Signed Qword Indices"
VPGATHERQQ	"Gather Packed Dword	 Packed Qword with Signed Qword Indices"
VPHADDD	Packed Horizontal Add
VPHADDSW	Packed Horizontal Add and Saturate
VPHADDW	Packed Horizontal Add
VPHMINPOSUW	Packed Horizontal Word Minimum
VPHSUBD	Packed Horizontal Subtract
VPHSUBSW	Packed Horizontal Subtract and Saturate
VPHSUBW	Packed Horizontal Subtract
VPINSRB	Insert Byte/Dword/Qword
VPINSRD	Insert Byte/Dword/Qword
VPINSRQ	Insert Byte/Dword/Qword
VPINSRW	Insert Word
VPLZCNTD	"Count the Number of Leading Zero Bits for Packed Dword	 Packed Qword Values"
VPLZCNTQ	"Count the Number of Leading Zero Bits for Packed Dword	 Packed Qword Values"
VPMADDUBSW	Multiply and Add Packed Signed and Unsigned Bytes
VPMADDWD	Multiply and Add Packed Integers
VPMASKMOVD	Conditional SIMD Integer Packed Loads and Stores
VPMASKMOVQ	Conditional SIMD Integer Packed Loads and Stores
VPMAXSB	Maximum of Packed Signed Integers
VPMAXSD	Maximum of Packed Signed Integers
VPMAXSQ	Maximum of Packed Signed Integers
VPMAXSW	Maximum of Packed Signed Integers
VPMAXUB	Maximum of Packed Unsigned Integers
VPMAXUD	Maximum of Packed Unsigned Integers
VPMAXUQ	Maximum of Packed Unsigned Integers
VPMAXUW	Maximum of Packed Unsigned Integers
VPMINSB	Minimum of Packed Signed Integers
VPMINSD	Minimum of Packed Signed Integers
VPMINSQ	Minimum of Packed Signed Integers
VPMINSW	Minimum of Packed Signed Integers
VPMINUB	Minimum of Packed Unsigned Integers
VPMINUD	Minimum of Packed Unsigned Integers
VPMINUQ	Minimum of Packed Unsigned Integers
VPMINUW	Minimum of Packed Unsigned Integers
VPMOVB2M	Convert a Vector Register to a Mask
VPMOVD2M	Convert a Vector Register to a Mask
VPMOVDB	Down Convert DWord to Byte
VPMOVDW	Down Convert DWord to Word
VPMOVM2B	Convert a Mask Register to a Vector Register
VPMOVM2D	Convert a Mask Register to a Vector Register
VPMOVM2Q	Convert a Mask Register to a Vector Register
VPMOVM2W	Convert a Mask Register to a Vector Register
VPMOVMSKB	Move Byte Mask
VPMOVQ2M	Convert a Vector Register to a Mask
VPMOVQB	Down Convert QWord to Byte
VPMOVQD	Down Convert QWord to DWord
VPMOVQW	Down Convert QWord to Word
VPMOVSDB	Down Convert DWord to Byte
VPMOVSDW	Down Convert DWord to Word
VPMOVSQB	Down Convert QWord to Byte
VPMOVSQD	Down Convert QWord to DWord
VPMOVSQW	Down Convert QWord to Word
VPMOVSWB	Down Convert Word to Byte
VPMOVSXBD	Packed Move with Sign Extend
VPMOVSXBQ	Packed Move with Sign Extend
VPMOVSXBW	Packed Move with Sign Extend
VPMOVSXDQ	Packed Move with Sign Extend
VPMOVSXWD	Packed Move with Sign Extend
VPMOVSXWQ	Packed Move with Sign Extend
VPMOVUSDB	Down Convert DWord to Byte
VPMOVUSDW	Down Convert DWord to Word
